time,active_uavs,spare_uavs,swapping_uavs,coverage_%,rolling_avg_%,cells_overdue,c2_violations,c3_alarms,c3_missed,avg_soc,min_soc
1.0,1,19,0,0.0,0.0,144,0,0,0,100.0,99.9
2.0,1,19,0,0.0,0.0,144,0,0,0,100.0,99.9
3.0,1,19,0,0.0,0.0,144,0,0,0,100.0,99.8
4.0,1,19,0,0.0,0.0,144,0,0,0,100.0,99.8
5.0,2,18,0,0.0,0.0,144,0,0,0,100.0,99.7
6.0,2,18,0,0.0,0.0,144,0,0,0,100.0,99.7
7.0,2,18,0,0.0,0.0,144,0,0,0,100.0,99.6
8.0,2,18,0,0.0,0.0,144,0,0,0,100.0,99.6
9.0,2,18,0,0.0,0.0,144,0,0,0,100.0,99.5
10.0,3,17,0,0.0,0.0,144,0,0,0,100.0,99.5
11.0,3,17,0,0.0,0.0,144,0,0,0,99.9,99.4
12.0,3,17,0,0.0,0.0,144,0,0,0,99.9,99.4
13.0,3,17,0,0.0,0.0,144,0,0,0,99.9,99.3
14.0,3,17,0,0.0,0.0,144,0,0,0,99.9,99.3
15.0,4,16,0,0.0,0.0,144,0,0,0,99.9,99.2
16.0,4,16,0,0.0,0.0,144,0,0,0,99.9,99.2
17.0,4,16,0,0.0,0.0,144,0,0,0,99.9,99.1
18.0,4,16,0,0.0,0.0,144,0,0,0,99.9,99.0
19.0,4,16,0,0.0,0.0,144,0,0,0,99.9,99.0
20.0,4,16,0,0.0,0.0,144,0,0,0,99.9,98.9
21.0,4,16,0,0.0,0.0,144,0,0,0,99.9,98.9
22.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.8
23.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.8
24.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.7
25.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.7
26.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.6
27.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.6
28.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.5
29.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.5
30.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.4
31.0,4,16,0,0.0,0.0,144,0,0,0,99.8,98.4
32.0,4,16,0,0.0,0.0,144,0,0,0,99.7,98.3
33.0,4,16,0,0.0,0.0,144,0,0,0,99.7,98.3
34.0,4,16,0,0.0,0.0,144,0,0,0,99.7,98.2
35.0,4,16,0,0.0,0.0,144,0,0,0,99.7,98.1
